Institucio,Campana,Ubicacion,Direccion,lon,lat
,VIDRIO,VIA PUBLICA,LO ERRAZURIZ / FARELLONES,-70.714508,-33.499535
,VIDRIO,VIA PUBLICA,EL MIRADOR 1380,-70.728645,-33.502483
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER OESTE,AMERICO VESPUCIO 2500,-70.708707,-33.517823
,VIDRIO,VIA PUBLICA,BUZETA /AVDA 8,-70.69437,-33.482652
,VIDRIO,VIA PUBLICA  (ENTRE NUEVA 1 Y CARRIEL SUR),DIPUTADO ANGEL FANTUZZI / PATRICIO ACEVEDO,-70.702856,-33.515974
,VIDRIO,VIA PUBLICA,MANUTARA 3009,-70.705983,-33.511171
,VIDRIO,SUPERMERCADO TOTTUS PLAZA OESTE,AEROPUERTO S/N,-70.714031,-33.518539
,VIDRIO,LIDER PLAZA OESTE SUR,AMERICO VESPUCIO 2701,-70.708484,-33.51853
,VIDRIO,LIDER PLAZA OESTE NORTE,AMERICO VESPUCIO 2500,-70.708707,-33.517823
,BOTELLA DE PLASTICO PET NUM 1,LIDER PLAZA OESTE,AMERICO VESPUCIO 2500,-70.708707,-33.517823
,VIDRIO,BIG JOHN,GENERAL SAN MARTIN,-70.701781,-33.284882
,VIDRIO,VIA PUBLICA,GENERAL SAN MARTIN / FONTT,-70.675238,-33.203563
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT DE COLINA - CENTRO,COLINA CENTRO (GENERAL SAN MARTIN),-70.676049,-33.204601
,VIDRIO,SUPERMERCADO MONTSERRAT DE COLINA - CENTRO,COLINA CENTRO (GENERAL SAN MARTIN),-70.676049,-33.204601
,VIDRIO,SUPERMERCADO LIDER EXPRESS PIEDRA ROJA,CHICUREO S/N SECTOR LAGUNA PR,-70.629963,-33.279446
,VIDRIO,POBLACION DOS UNIDAD VECINAL 9 (PLAZA),POBLACION DOS UNIDAD VECINAL 9 (PLAZA),-70.675014,-33.204536
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER VECINO INDEPENDENCIA,INDEPENDENCIA 4142,-70.674702,-33.391339
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO UNIMARC ZAPADORES,LOS ZAPADORES 1320,-70.664134,-33.386321
,VIDRIO,SUPERMERCADO MONTSERRAT DE CONCHALI,INDEPENDENCIA 3601,-70.671944,-33.39547
,VIDRIO,SUPERMERCADO SANTA ISABEL CONCHALI,CARDENAL JOSE MARIA CARO 1771,-70.681656,-33.373702
,VIDRIO,SUPERMERCADO UNIMARC ZAPADORES,LOS ZAPADORES 1320,-70.664134,-33.386321
,VIDRIO,VIA PUBLICA,INDEPENDENCIA / VECINAL,-70.679802,-33.385065
,VIDRIO,VIA PUBLICA,EL CORTIJO / 7 DE NOVIEMBRE,-70.688025,-33.378508
,VIDRIO,VIA PUBLICA,CARDENAL JOSE MARIA CARO / PUNTIAGUDO,-70.675109,-33.376726
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER VECINO INDEPENDENCIA,INDEPENDENCIA 4142,-70.674702,-33.391339
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT DE CONCHALI,INDEPENDENCIA 3601,-70.671944,-33.39547
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL CONCHALI,CARDENAL JOSE MARIA CARO 1771,-70.681656,-33.373702
,VIDRIO,VIA PUBLICA,JULIO MONTT SALAMANCA / FORESTAL,-70.691466,-33.366486
,DIARIO Y PAPEL,SUPERMERCADO SANTA ISABEL,GRAN AVENIDA JOSE MIGUEL CARRERA 9863,-70.671801,-33.549888
,VIDRIO,SUPERMERCADO MONTSERRAT,GRAN AVENIDA JOSE MIGUEL CARRERA 13125,-70.691325,-33.574976
,VIDRIO,SUPERMERCADO SANTA ISABEL,GRAN AVENIDA JOSE MIGUEL CARRERA 9863,-70.671787,-33.549873
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL,GRAN AVENIDA JOSE MIGUEL CARRERA 9863,-70.671801,-33.549873
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT,GRAN AVENIDA JOSE MIGUEL CARRERA 13125,-70.691325,-33.574976
,DIARIO Y PAPEL,SUPERMERCADO MONTSERRAT,GRAN AVENIDA JOSE MIGUEL CARRERA 13125,-70.69133,-33.574978
,VIDRIO,SUPERMERCADO LIDER,LIBERTADOR BERNARDO O HIGGINS / GENERAL VELASQUEZ,-70.691227,-33.453312
,VIDRIO,SUPERMERCADO LIDER HIPER GRAL VELASQUEZ,GENERAL VELASQUEZ 60,-70.691232,-33.45331
,VIDRIO,SUPERMERCADO MONTSERRAT,LOS PAJARITOS 6950,-70.730031,-33.46764
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT,LOS PAJARITOS 6950,-70.730031,-33.46764
,DIARIO Y PAPEL,CONDOMINIO PLAZA AZUL DE HUECHURABA,SANTA MARTA DE HUECHURABA 6950,-70.677592,-33.354218
,DIARIO Y PAPEL,EDIFICIO VANGUARDIA,DEL VALLE 869,-70.613788,-33.389555
,DIARIO Y PAPEL,PROPIEDADES PALACIO RIESCO,DEL PARQUE 4928,-70.616977,-33.389135
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HUECHURABA (MALL PLAZA NORTE),AMERICO VESPUCIO 1737,-70.677857,-33.368306
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO SANTA ISABEL HUECHURABA,PEDRO FONTOVA 7789,-70.669946,-33.346655
,DIARIO Y PAPEL,CONDOMINIO CLUB ALTOS DEL CARMEN,PEDRO FONTOVA 7789,-70.670397,-33.347897
,DIARIO Y PAPEL,PROPIEDADES PALACIO RIESCO,DEL VALLE 945,-70.617175,-33.388186
,DIARIO Y PAPEL,BOSQUES SANTIAGO,CAMINO LA PIRAMIDE,-70.612993,-33.376319
,VIDRIO,SUPERMERCADO TOTTUS HUECHURABA,PEDRO FONTOVA 5810,-70.67055,-33.358935
,ENVASE DE TETRA PAK,SUPERMERCADO TOTTUS HUECHURABA,PEDRO FONTOVA 5810,-70.67055,-33.358935
,VIDRIO,SUPERMERCADO SANTA ISABEL HUECHURABA,PEDRO FONTOVA 7789,-70.669949,-33.346655
,VIDRIO,CONDOMINIO,GUANACO NORTE 1752,-70.680172,-33.351414
,DIARIO Y PAPEL,PROPIEDADES PALACIO RIESCO,DEL VALLE 937,-70.61578,-33.388229
,DIARIO Y PAPEL,CONJUNTO HABITACIONAL LA HACIENDA DE HUECHURABA,GUANACO NORTE 1752,-70.680172,-33.351413
,VIDRIO,PLAZA,ENRIQUE SORO / SALOMON SACK,-70.672457,-33.418851
,VIDRIO,FACULTAD MEDICINA UNIVERSIDAD DE CHILE,INDEPENDENCIA 1027,-70.656015,-33.418989
,VIDRIO,SUPERMERCADO ECONOMAX CENTRO COMERCIAL VIVACETA,FERMIN VIVACETA 957,-70.663289,-33.420006
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL VIVACETA,FERMIN VIVACETA 957,-70.663289,-33.420006
,VIDRIO,SUPERMERCADO MONTSERRAT DE PLAZA CHACABUCO,INDEPENDENCIA 2127,-70.660639,-33.406893
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT DE PLAZA CHACABUCO,INDEPENDENCIA 2127,-70.660639,-33.406893
,VIDRIO,SUPERMERCADO UNIMARC JUAN A RIOS,SALOMON SACK 351,-70.670182,-33.419789
,VIDRIO,ENTRE LAS CANAS Y NUEVA 5,PADRE FAUSTINO GAZZIERO ALT. 2350,-70.674712,-33.411609
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO SANTA ISABEL LA CISTERNA,GRAN AVENIDA JOSE MIGUEL CARRERA 6610,-70.658854,-33.517955
,VIDRIO,PLAZA LO OVALLE (P-18),GRAN AVENIDA JOSE MIGUEL CARRERA PAR.18,-70.658349,-33.515502
,VIDRIO,CASA CONSISTORIAL (MUNICIPALIDAD),GRAN AVENIDA JOSE MIGUEL CARRERA 8585,-70.663591,-33.533884
,VIDRIO,PLAZA MARIA EUGENIA (FRENTE TUCUMAN),PLAZA MARIA EUGENIA (FRENTE TUCUMAN),-70.677247,-33.536503
,VIDRIO,SUPERMERCADO SANTA ISABEL LA CISTERNA,GRAN AVENIDA JOSE MIGUEL CARRERA 6610,-70.658854,-33.517955
,VIDRIO,SUPERMERCADO LIDER VECINO LOS MORROS,RIQUELME 69,-70.667254,-33.546086
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER VECINO LOS MORROS,RIQUELME 69,-70.667254,-33.546086
,VIDRIO,MUNICIPALIDAD DE LA CISTERNA,GRAN AVENIDA JOSE MIGUEL CARRERA / PEDRO AGUIRRE CERDA,-70.663591,-33.533884
,VIDRIO,SUPERMERCADO PUERTO CRISTO,SAN JOSE DE LA ESTRELLA / SANTA RAQUEL,-70.601906,-33.553892
,VIDRIO,SUPERMERCADO SANTA ISABEL,LA FLORIDA / ENRIQUE OLIVARES,-70.571961,-33.539715
,VIDRIO,SUPERMERCADO MONSERRAT,AMERICO VESPUCIO / WALKER MARTINEZ,-70.598972,-33.523692
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO LIDER HIPER SANTA AMALIA,SANTA AMALIA 1763,-70.565054,-33.543547
,BOTELLA DE PLASTICO PET NUM 1,SUPERMERCADO SANTA ISABEL LA FLORIDA,LA FLORIDA 9385,-70.571961,-33.539716
,DIARIO Y PAPEL,SUPERMERCADOS LIDER HIPER SANTA AMALIA,SANTA AMALIA 1763,-70.565054,-33.543547
,VIDRIO,SUPERMERCADO LIDER HIPER SANTA AMALIA,SANTA AMALIA 1763,-70.565054,-33.543547
,VIDRIO,SUPERMERCADO MONTSERRAT VESPUCIO LA FLORIDA,AMERICO VESPUCIO 7500,-70.598971,-33.523692
,VIDRIO,SUPERMERCADO PUERTO CRISTO,SAN JOSE DE LA ESTRELLA / SANTA RAQUEL,-70.601906,-33.553892
,VIDRIO,SUPERMERCADO RIBEIRO LOCAL 19,VICUNA MACKENNA 9090,-70.591462,-33.53943
,VIDRIO,SUPERMERCADO SANTA ISABEL LA FLORIDA,LA FLORIDA 9385,-70.571961,-33.539716
,VIDRIO,SUPERMERCADO TOTTUS LA FLORIDA,AMERICO VESPUCIO 7310,-70.594929,-33.518475
,VIDRIO,SUPERMERCADO UNIMARC CORDILLERA,ROJAS MAGALLANES 1856,-70.570902,-33.535438
,VIDRIO,VIA PUBLICA,FROILAN ROA / EL MEMBRILLAR,-70.600128,-33.514439
,VIDRIO,VIA PUBLICA,WALKER MARTINEZ / DIAG STA. IRENE,-70.569415,-33.522295
,VIDRIO,VIA PUBLICA,SANTA INES / ALICAHUE,-70.561778,-33.542105
,VIDRIO,VIA PUBLICA,ROJAS MAGALLANES / COLOMBIA,-70.5849,-33.535846
,VIDRIO,VIA PUBLICA,GENERAL ARRIAGADA / VICUÑA MACKENNA,-70.586063,-33.557178
,VIDRIO,VIA PUBLICA,COLOMBIA 10544,-70.577225,-33.553754
,VIDRIO,VIA PUBLICA,WALKER MARTINEZ / SANTA DELIA,-70.575796,-33.522431
,VIDRIO,VIA PUBLICA,GERONIMO DE ALDERETE / RAYEN,-70.579098,-33.527709
,VIDRIO,VIA PUBLICA,VICUNA MACKENNA / SANTA AMALIA,-70.589369,-33.543397
,VIDRIO,VIA PUBLICA,WALKER MARTINEZ / OLGOLMO,-70.563155,-33.522289
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER SANTA AMALIA,SANTA AMALIA 1763,-70.565054,-33.543547
,ENVASE DE TETRA PAK,SUPERMERCADO MONTSERRAT VESPUCIO LA FLORIDA,AMERICO VESPUCIO 7500,-70.598972,-33.523692
,ENVASE DE TETRA PAK,SUPERMERCADO RIBEIRO LOCAL 19,VICUNA MACKENNA 9090,-70.591462,-33.53943
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL LA FLORIDA,LA FLORIDA 9385,-70.571961,-33.539716
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL LA FLORIDA,WALKER MARTINEZ 1786,-70.579203,-33.52226
,ENVASE DE TETRA PAK,SUPERMERCADO SANTA ISABEL LA FLORIDA,VICUNA MACKENNA 11145,-70.58572,-33.560132
,VIDRIO,SUPERMERCADO LIDER HIPER VICUNA MACKENNA,VICUNA MACKENNA 7196,-70.60041,-33.520787
,ENVASE DE TETRA PAK,SUPERMERCADO LIDER HIPER VICUNA MACKENNA,VICUNA MACKENNA 7196,-70.60041,-33.520787
,VIDRIO,SUPERMERCADO RIBEIRO,VICUNA MACKENNA 9090,-70.591459,-33.539432
,VIDRIO,SUPERMERCADO DACARLA,GENERAL ARRIAGADA 1090,-70.599471,-33.558482
,VIDRIO,SUPERMERCADO LIDER EXPRESS ROJAS MAGALLANES,SANCHEZ FONTECILLA / ROJAS MAGALLANES,-70.55429,-33.535605
,VIDRIO,SUPERMERCADO LIDER HIPER VICUNA MACKENNA,VICUNA MACKENNA / SAN CARLOS DE ANCUD,-70.600414,-33.520788
,VIDRIO,VIA PUBLICA,JARDIN ALTO / MARCELA PAZ,-70.560545,-33.527439
,VIDRIO,VIA PUBLICA,JARDIN ALTO / SANTA TERESA,-70.557222,-33.53671
,VIDRIO,PARROQUIA SAN JOSE,GERONIMO DE ALDERETE / CURTIDURIA,-70.561491,-33.52646
,VIDRIO,SUPERMERCADO LIDER HIPER DEPARTAMENTAL,AMERICO VESPUCIO 6325,-70.590955,-33.511806
